(-0.01540595, -0.94288840, -0.04517058)
(0.03877395, -0.94516180, -0.10291690)
(0.10362450, -0.94241360, -0.15850290)
(0.17479770, -0.92635420, -0.20686030)
(0.24167370, -0.89557310, -0.23983620)
(0.28213920, -0.85499920, -0.26190300)
(0.29660410, -0.80889960, -0.27740840)
(0.28575920, -0.76154180, -0.28695330)
(0.25491150, -0.71505610, -0.28703640)
(0.20923650, -0.67568250, -0.27457840)
(0.15141220, -0.65468350, -0.25025170)
(0.08988194, -0.65803880, -0.21409170)
(0.03212075, -0.68168550, -0.16625750)
(-0.02305164, -0.72085620, -0.10388200)
(-0.07624854, -0.77164410, -0.02562348)
(-0.12469240, -0.82300420, 0.06011643)
(-0.16211980, -0.86292490, 0.14025790)
(-0.18777610, -0.88908900, 0.20423420)
(-0.20655550, -0.90565060, 0.23813550)
(-0.21085690, -0.91680220, 0.24027810)
(-0.19907690, -0.92650130, 0.21351910)
(-0.17034910, -0.93396990, 0.16219560)
(-0.13115760, -0.93915180, 0.10443110)
(-0.08888023, -0.94326080, 0.04487785)
(-0.04381102, -0.94750910, -0.01416010)
(0.00784135, -0.95142330, -0.07471332)
(0.06810594, -0.95079810, -0.13403230)
(0.13405890, -0.94106100, -0.18818300)
(0.20133810, -0.91763970, -0.23183720)
(0.25161120, -0.87866420, -0.26649940)
(0.27896060, -0.82988790, -0.29383660)
(0.28065890, -0.77631160, -0.31350540)
(0.26181420, -0.71968140, -0.31795050)
(0.22706940, -0.66810140, -0.30864050)
(0.18087060, -0.63556270, -0.28686260)
(0.12511790, -0.62884160, -0.25390370)
(0.07123172, -0.64521920, -0.21155840)
(0.01756826, -0.68180570, -0.15591420)
(-0.03635227, -0.73399910, -0.08432441)
(-0.08767674, -0.79191830, 0.00476059)
(-0.13388100, -0.84499160, 0.09855026)
(-0.17001570, -0.88268670, 0.18532250)
(-0.19392930, -0.90110230, 0.24976020)
(-0.20699230, -0.90913590, 0.27662100)
(-0.20426830, -0.91643520, 0.26887560)
(-0.18205300, -0.92317400, 0.23003980)
(-0.14793740, -0.92839390, 0.17188140)
(-0.10914630, -0.93258770, 0.10725050)
(-0.06755751, -0.93624820, 0.03968907)
(-0.02507380, -0.93986780, -0.02728372)
(0.02369333, -0.94411700, -0.09371859)
(0.08133397, -0.94488690, -0.15821830)
(0.14912160, -0.93230180, -0.21876230)
(0.21492510, -0.89986260, -0.27180450)
(0.25904350, -0.85262610, -0.31360780)
(0.27343750, -0.79687420, -0.34421960)
(0.26491770, -0.73886610, -0.36043030)
(0.23889470, -0.68399490, -0.35851070)
(0.20062730, -0.63761280, -0.33946680)
(0.15264920, -0.60991810, -0.30831830)
(0.10039770, -0.60940800, -0.26908110)
(0.05032710, -0.63373960, -0.22012760)
(0.00378678, -0.67702490, -0.15814240)
(-0.03934746, -0.73325930, -0.07989834)
(-0.07779267, -0.79413600, 0.00870262)
(-0.10931440, -0.85038940, 0.10059610)
(-0.13282700, -0.89275310, 0.18728720)
(-0.15430960, -0.91498060, 0.24516190)
(-0.16672620, -0.92435280, 0.27061900)
(-0.16505430, -0.93082130, 0.26191620)
(-0.14536450, -0.93820800, 0.22219430)
(-0.11135900, -0.94293140, 0.16573630)
(-0.06861929, -0.94427540, 0.09940632)
(-0.02597915, -0.94626530, 0.02922937)
(0.01943665, -0.94834800, -0.04349826)
(0.06914461, -0.94661830, -0.11634210)
(0.12363920, -0.93717130, -0.18664580)
(0.17951680, -0.91610160, -0.25004440)
(0.22618110, -0.88003300, -0.30153880)
(0.25695430, -0.83152420, -0.34182110)
(0.26397590, -0.77614850, -0.37288620)
(0.25219430, -0.71783130, -0.39087270)
(0.22683480, -0.66135690, -0.39099250)
(0.18989380, -0.61920510, -0.37283220)
(0.13922980, -0.60024860, -0.34783270)
(0.08495046, -0.60429300, -0.31481880)
(0.03209986, -0.63203850, -0.27187250)
(-0.01643507, -0.68318640, -0.21710620)
(-0.05799867, -0.74875620, -0.14807250)
(-0.09313977, -0.81698610, -0.06747754)
(-0.12283680, -0.87611410, 0.02044207)
(-0.14615210, -0.91562230, 0.10180360)
(-0.16211580, -0.93643800, 0.16449430)
(-0.16976330, -0.94516690, 0.19961490)
(-0.16939090, -0.94844190, 0.19767300)
(-0.15404530, -0.95123580, 0.16285850)
(-0.12520220, -0.95048620, 0.10370310)
(-0.08626852, -0.94426670, 0.03134074)
(-0.04625769, -0.93290170, -0.04287752)
(-0.00316516, -0.91999830, -0.11664170)
