(-0.03926388, -0.83168840, 0.32461730)
(-0.04608379, -0.84740180, 0.29121490)
(-0.05289002, -0.86321480, 0.25789870)
(-0.05980573, -0.87882890, 0.22389380)
(-0.06675417, -0.89394570, 0.18848390)
(-0.07353479, -0.90826670, 0.15184350)
(-0.08091188, -0.92149340, 0.11482440)
(-0.08965790, -0.93332730, 0.07815193)
(-0.09963746, -0.94347010, 0.04103415)
(-0.11067870, -0.95162310, 0.00435161)
(-0.12276690, -0.95748810, -0.03040092)
(-0.13588720, -0.96126450, -0.06287430)
(-0.15002480, -0.96326010, -0.09363347)
(-0.16516500, -0.96333830, -0.12255480)
(-0.18138270, -0.96136260, -0.14951470)
(-0.19870110, -0.95719640, -0.17438950)
(-0.21659130, -0.95070320, -0.19705570)
(-0.23449160, -0.94156380, -0.21732310)
(-0.25184040, -0.92824600, -0.23463090)
(-0.26807590, -0.91294160, -0.24991620)
(-0.28263660, -0.89881730, -0.26448720)
(-0.29529000, -0.88798080, -0.27903430)
(-0.30619860, -0.87832340, -0.29281510)
(-0.31539290, -0.86668800, -0.30498950)
(-0.32290300, -0.85068550, -0.31501800)
(-0.32875960, -0.83141080, -0.32343690)
(-0.33299290, -0.80961880, -0.33032680)
(-0.33563340, -0.78594230, -0.33570880)
(-0.33671150, -0.76101430, -0.33960410)
(-0.33625750, -0.73546790, -0.34203390)
(-0.33430190, -0.70993600, -0.34301940)
(-0.33087500, -0.68505160, -0.34258170)
(-0.32600730, -0.66144770, -0.34074220)
(-0.31972920, -0.63975730, -0.33752190)
(-0.31207100, -0.62042580, -0.33294190)
(-0.30306310, -0.60312700, -0.32702370)
(-0.29273600, -0.58770400, -0.31978830)
(-0.28111880, -0.57403280, -0.31126840)
(-0.26826910, -0.56198970, -0.30163610)
(-0.25434410, -0.55145060, -0.29096170)
(-0.23951630, -0.54229150, -0.27926950)
(-0.22395810, -0.53438850, -0.26658340)
(-0.20784210, -0.52761790, -0.25292800)
(-0.19134070, -0.52185540, -0.23832740)
(-0.17462640, -0.51697740, -0.22280570)
(-0.15787170, -0.51285970, -0.20638740)
(-0.14124890, -0.50937850, -0.18909650)
(-0.12491540, -0.50644070, -0.17095740)
(-0.10879020, -0.50433570, -0.15199420)
(-0.09281206, -0.50310010, -0.13223130)
(-0.07696721, -0.50265020, -0.11169280)
(-0.06097591, -0.50290210, -0.09065904)
(-0.04504062, -0.50377200, -0.06897613)
(-0.02987048, -0.50517610, -0.04601678)
(-0.01585769, -0.50703050, -0.02127201)
(-0.00260338, -0.50925150, 0.00505221)
(0.00942771, -0.51175510, 0.03260233)
(0.01973570, -0.51445760, 0.06103160)
(0.02845033, -0.51727520, 0.09018636)
(0.03562404, -0.52012390, 0.12048920)
(0.04117949, -0.52292010, 0.15244440)
(0.04496014, -0.52557980, 0.18629950)
(0.04709253, -0.52801920, 0.22171610)
(0.04792393, -0.53015460, 0.25832000)
(0.04755252, -0.53185080, 0.29573710)
(0.04569789, -0.53286540, 0.33359320)
(0.04303059, -0.53311960, 0.37151420)
(0.04020988, -0.53254750, 0.40912600)
(0.03686891, -0.53108360, 0.44605430)
(0.03324873, -0.52866200, 0.48192510)
(0.02989963, -0.52521710, 0.51636430)
(0.02681198, -0.52075160, 0.55011490)
(0.02388784, -0.51573970, 0.58285510)
(0.02154516, -0.51082200, 0.61261220)
(0.01997069, -0.50663940, 0.63794210)
(0.01888910, -0.50383270, 0.65960350)
(0.01878384, -0.50304280, 0.67790720)
(0.02022400, -0.50484600, 0.69307270)
(0.02359062, -0.50887580, 0.70531900)
(0.02798611, -0.51498090, 0.71486570)
(0.03228752, -0.52322380, 0.72193190)
(0.03689471, -0.53366770, 0.72646230)
(0.04173605, -0.54637540, 0.72813520)
(0.04498081, -0.56140980, 0.72677030)
(0.04512813, -0.57928750, 0.72218760)
(0.04276510, -0.60033910, 0.71420680)
(0.03899615, -0.62218210, 0.70264770)
(0.03478599, -0.64242360, 0.68732610)
(0.02965054, -0.66125580, 0.66821020)
(0.02385895, -0.67916200, 0.64573720)
(0.01809579, -0.69621560, 0.62041180)
(0.01263090, -0.71249010, 0.59273840)
(0.00714117, -0.72805890, 0.56322190)
(0.00142185, -0.74299560, 0.53236680)
(-0.00474115, -0.75737350, 0.50067760)
(-0.01132407, -0.77126620, 0.46865920)
(-0.01798529, -0.78474710, 0.43681590)
(-0.02438864, -0.79788970, 0.40560930)
(-0.03055208, -0.81076740, 0.37478870)
(-0.03662068, -0.82345380, 0.34409050)
