(0.05666463, -0.92571150, -0.16030540)
(0.05763477, -0.92477740, -0.16563130)
(0.05874280, -0.92280600, -0.17116710)
(0.06110208, -0.91975930, -0.17857790)
(0.06497577, -0.91559940, -0.18812560)
(0.06919459, -0.91028820, -0.19848120)
(0.07285404, -0.90378800, -0.20870800)
(0.07632091, -0.89606060, -0.21930440)
(0.07962511, -0.88706820, -0.23030470)
(0.08273503, -0.87677280, -0.24169960)
(0.08552915, -0.86513660, -0.25347970)
(0.08786684, -0.85212140, -0.26563580)
(0.08960749, -0.83768940, -0.27815850)
(0.09061047, -0.82180260, -0.29103840)
(0.09082716, -0.80442320, -0.30426620)
(0.09033218, -0.78551300, -0.31783250)
(0.08907802, -0.76503430, -0.33172460)
(0.08701434, -0.74294910, -0.34575110)
(0.08409075, -0.71921930, -0.35956740)
(0.08026432, -0.69386040, -0.37284420)
(0.07558939, -0.66727160, -0.38525240)
(0.07018729, -0.63991250, -0.39646240)
(0.06418053, -0.61222850, -0.40614500)
(0.05769162, -0.58466520, -0.41397100)
(0.05084308, -0.55766830, -0.41961820)
(0.04375742, -0.53168310, -0.42301720)
(0.03655715, -0.50715520, -0.42437710)
(0.02929936, -0.48453030, -0.42391680)
(0.02194728, -0.46425370, -0.42185480)
(0.01469428, -0.44677050, -0.41840980)
(0.00761376, -0.43220620, -0.41380060)
(0.00064365, -0.42043780, -0.40824580)
(-0.00623143, -0.41147140, -0.40196400)
(-0.01300770, -0.40531330, -0.39517400)
(-0.01974460, -0.40196990, -0.38809450)
(-0.02651376, -0.40144730, -0.38094400)
(-0.03338680, -0.40375170, -0.37394140)
(-0.04043533, -0.40888950, -0.36729550)
(-0.04773099, -0.41686690, -0.36061980)
(-0.05534538, -0.42769010, -0.35340770)
(-0.06336346, -0.44139910, -0.34536810)
(-0.07180851, -0.45804740, -0.33620950)
(-0.08046468, -0.47733350, -0.32564060)
(-0.08909370, -0.49891560, -0.31361970)
(-0.09745732, -0.52245170, -0.30045260)
(-0.10531730, -0.54760000, -0.28622960)
(-0.11243530, -0.57401870, -0.27103830)
(-0.11857320, -0.60136590, -0.25496610)
(-0.12349270, -0.62929960, -0.23810050)
(-0.12695540, -0.65747810, -0.22052910)
(-0.12872330, -0.68555940, -0.20233940)
(-0.12864970, -0.71320180, -0.18364570)
(-0.12681840, -0.74006320, -0.16465590)
(-0.12333670, -0.76580190, -0.14559790)
(-0.11831170, -0.79007600, -0.12669970)
(-0.11185050, -0.81254360, -0.10818920)
(-0.10400160, -0.83288760, -0.09021125)
(-0.09479998, -0.85106370, -0.07262772)
(-0.08449745, -0.86719380, -0.05535530)
(-0.07335514, -0.88140230, -0.03849742)
(-0.06163416, -0.89381360, -0.02185212)
(-0.04946880, -0.90455190, -0.00490575)
(-0.03659656, -0.91374160, 0.01260523)
(-0.02397485, -0.92150710, 0.02909305)
(-0.01219110, -0.92797260, 0.04370204)
(-0.00098370, -0.93326230, 0.05678429)
(0.00923154, -0.93750080, 0.06738693)
(0.01841122, -0.94081220, 0.07535809)
(0.02664474, -0.94332090, 0.08089080)
(0.03393105, -0.94515120, 0.08400240)
(0.04026914, -0.94642750, 0.08471023)
(0.04565798, -0.94727390, 0.08303162)
(0.05009654, -0.94781500, 0.07874414)
(0.05358378, -0.94817500, 0.07217524)
(0.05611739, -0.94844470, 0.06419105)
(0.05771374, -0.94825330, 0.05439985)
(0.05848055, -0.94751600, 0.04377449)
(0.05854133, -0.94630020, 0.03338192)
(0.05801956, -0.94467340, 0.02282550)
(0.05703874, -0.94270300, 0.01238331)
(0.05572237, -0.94045650, 0.00196199)
(0.05419395, -0.93800130, -0.00819216)
(0.05251895, -0.93540480, -0.01737759)
(0.05050194, -0.93273460, -0.02551883)
(0.04862824, -0.93005800, -0.03325319)
(0.04729902, -0.92744260, -0.04101198)
(0.04630797, -0.92495560, -0.04861141)
(0.04560198, -0.92266460, -0.05608279)
(0.04513879, -0.92063710, -0.06347011)
(0.04487616, -0.91894050, -0.07081740)
(0.04476007, -0.91764220, -0.07816865)
(0.04478779, -0.91680970, -0.08556789)
(0.04516332, -0.91651040, -0.09305913)
(0.04599220, -0.91664210, -0.10068640)
(0.04715757, -0.91694900, -0.10849360)
(0.04860558, -0.91737750, -0.11652490)
(0.05028348, -0.91787610, -0.12482430)
(0.05213855, -0.91839310, -0.13343570)
(0.05411804, -0.91887700, -0.14249580)
(0.05616923, -0.91927640, -0.15212650)
