(-0.22999240, -0.51897870, 0.01151317)
(-0.21104490, -0.52789070, 0.03358766)
(-0.19227540, -0.53669120, 0.05550663)
(-0.17208110, -0.54638370, 0.07866983)
(-0.14922940, -0.55759660, 0.10438920)
(-0.12430800, -0.56956730, 0.13236470)
(-0.09789996, -0.58204430, 0.16097620)
(-0.07040735, -0.59484820, 0.18870530)
(-0.04103258, -0.60779940, 0.21597990)
(-0.01083211, -0.62071840, 0.24265280)
(0.01854407, -0.63342570, 0.26810710)
(0.04720541, -0.64574180, 0.29172620)
(0.07538800, -0.65748710, 0.31289320)
(0.10163180, -0.66848220, 0.33099130)
(0.12491280, -0.67877590, 0.34558990)
(0.14592960, -0.68898890, 0.35712710)
(0.16490420, -0.69912060, 0.36598820)
(0.18197930, -0.70911570, 0.37252950)
(0.19729780, -0.71891870, 0.37710790)
(0.21100240, -0.72847440, 0.38007980)
(0.22323580, -0.73772730, 0.38180190)
(0.23414070, -0.74662210, 0.38263080)
(0.24386000, -0.75510350, 0.38292300)
(0.25253630, -0.76311610, 0.38303530)
(0.26007210, -0.77060460, 0.38332410)
(0.26615180, -0.77751340, 0.38414620)
(0.27154310, -0.78378750, 0.38585800)
(0.27716230, -0.78937130, 0.38901630)
(0.28387510, -0.79420940, 0.39533900)
(0.28983630, -0.79824660, 0.40211040)
(0.29265980, -0.80142750, 0.40550500)
(0.29163830, -0.80400170, 0.40412690)
(0.28770050, -0.80638140, 0.39966120)
(0.28091440, -0.80875460, 0.39290390)
(0.27134800, -0.81130960, 0.38465110)
(0.25906930, -0.81423480, 0.37569880)
(0.24414630, -0.81771820, 0.36684300)
(0.22664700, -0.82185170, 0.35891230)
(0.20663950, -0.82555450, 0.35244260)
(0.18419160, -0.82858280, 0.34622300)
(0.15937140, -0.83107510, 0.33874130)
(0.13147020, -0.83316990, 0.32948850)
(0.10098450, -0.83500560, 0.31914230)
(0.06978997, -0.83672080, 0.30797060)
(0.03906486, -0.83845390, 0.29624170)
(0.00788200, -0.84034340, 0.28422340)
(-0.02319461, -0.84252790, 0.27218390)
(-0.05348887, -0.84516610, 0.26039250)
(-0.08305332, -0.84860460, 0.24899770)
(-0.11208330, -0.85288130, 0.23784850)
(-0.14067110, -0.85793780, 0.22675480)
(-0.16890900, -0.86371550, 0.21552670)
(-0.19688900, -0.87015600, 0.20397410)
(-0.22470350, -0.87720070, 0.19190700)
(-0.25244460, -0.88476910, 0.17926350)
(-0.28020470, -0.89248800, 0.16609010)
(-0.30807590, -0.89977760, 0.15184860)
(-0.33628950, -0.90605400, 0.13597400)
(-0.36595890, -0.91073330, 0.11836690)
(-0.39527720, -0.91323180, 0.09947642)
(-0.42168490, -0.91296540, 0.07977888)
(-0.44489770, -0.91028700, 0.05893709)
(-0.46560610, -0.90600800, 0.03710112)
(-0.48271290, -0.90023240, 0.01547841)
(-0.49545790, -0.89306400, -0.00507329)
(-0.50451200, -0.88460700, -0.02506095)
(-0.51028780, -0.87496510, -0.04458962)
(-0.51314030, -0.86424240, -0.06371321)
(-0.51342460, -0.85254290, -0.08255289)
(-0.51149580, -0.83997040, -0.10091650)
(-0.50770900, -0.82662890, -0.11853630)
(-0.50241930, -0.81262250, -0.13514440)
(-0.49598170, -0.79805490, -0.15047280)
(-0.48875140, -0.78303030, -0.16425390)
(-0.48095390, -0.76765260, -0.17626930)
(-0.47242680, -0.75202560, -0.18653930)
(-0.46328800, -0.73625340, -0.19507750)
(-0.45368390, -0.72043990, -0.20189020)
(-0.44376080, -0.70468910, -0.20698340)
(-0.43366520, -0.68910490, -0.21036360)
(-0.42354350, -0.67379120, -0.21203670)
(-0.41354200, -0.65885220, -0.21200910)
(-0.40380720, -0.64439150, -0.21028700)
(-0.39448540, -0.63051330, -0.20687660)
(-0.38567990, -0.61721570, -0.20179820)
(-0.37728280, -0.60425840, -0.19516350)
(-0.36918910, -0.59171960, -0.18710920)
(-0.36129960, -0.57970420, -0.17777040)
(-0.35351540, -0.56831680, -0.16728260)
(-0.34573750, -0.55766210, -0.15578110)
(-0.33786690, -0.54784490, -0.14340120)
(-0.32980450, -0.53896990, -0.13027840)
(-0.32145140, -0.53114170, -0.11654790)
(-0.31270850, -0.52446510, -0.10234510)
(-0.30356750, -0.51904480, -0.08779417)
(-0.29404210, -0.51498540, -0.07285405)
(-0.28367030, -0.51239180, -0.05736070)
(-0.27193790, -0.51146660, -0.04112632)
(-0.25850350, -0.51307820, -0.02393313)
(-0.24417340, -0.51612810, -0.00622316)
