(-0.04136899, -0.86495880, -0.02187877)
(-0.04305918, -0.87644640, 0.02306069)
(-0.04484248, -0.88664890, 0.06921477)
(-0.04674822, -0.89499860, 0.11725960)
(-0.04880572, -0.90092780, 0.16629400)
(-0.05104433, -0.90386870, 0.21541030)
(-0.05349337, -0.90325360, 0.26370060)
(-0.05605840, -0.89851460, 0.31019530)
(-0.05940478, -0.88908730, 0.35408120)
(-0.06467512, -0.87559930, 0.39509420)
(-0.07114565, -0.85954340, 0.43300150)
(-0.07807494, -0.84194360, 0.46757060)
(-0.08508392, -0.82382310, 0.49856890)
(-0.09167943, -0.80620590, 0.52576380)
(-0.09662067, -0.79011540, 0.54892240)
(-0.09882003, -0.77657540, 0.56744120)
(-0.09830089, -0.76660950, 0.58025620)
(-0.09551189, -0.76124130, 0.58746450)
(-0.09084219, -0.76135580, 0.58922790)
(-0.08472891, -0.76647050, 0.58570800)
(-0.07826906, -0.77557250, 0.57706680)
(-0.07257858, -0.78767890, 0.56360090)
(-0.06795698, -0.80180670, 0.54704700)
(-0.06440491, -0.81697330, 0.52825090)
(-0.06200697, -0.83219560, 0.50767010)
(-0.06082489, -0.84649070, 0.48576180)
(-0.05966332, -0.85887590, 0.46298340)
(-0.05862824, -0.86836830, 0.43979230)
(-0.05805873, -0.87518720, 0.41664560)
(-0.05820056, -0.88035320, 0.39399630)
(-0.05885993, -0.88417510, 0.37209530)
(-0.05975221, -0.88696210, 0.35092170)
(-0.06062863, -0.88902280, 0.33043590)
(-0.06124039, -0.89066650, 0.31059800)
(-0.06138268, -0.89220190, 0.29136830)
(-0.06112296, -0.89393810, 0.27270720)
(-0.06059084, -0.89618400, 0.25457470)
(-0.05991187, -0.89916940, 0.23693120)
(-0.05921161, -0.90258130, 0.21973680)
(-0.05861560, -0.90630580, 0.20295200)
(-0.05824837, -0.91029810, 0.18653690)
(-0.05816036, -0.91451320, 0.17045180)
(-0.05827903, -0.91890630, 0.15455220)
(-0.05852027, -0.92343270, 0.13852640)
(-0.05879999, -0.92804750, 0.12232300)
(-0.05903409, -0.93270580, 0.10590500)
(-0.05913846, -0.93736270, 0.08923559)
(-0.05894807, -0.94197350, 0.07227763)
(-0.05836516, -0.94649330, 0.05496207)
(-0.05742630, -0.95087740, 0.03750639)
(-0.05616815, -0.95508070, 0.02112441)
(-0.05462740, -0.95905860, 0.00539940)
(-0.05284072, -0.96276620, -0.00997341)
(-0.05084480, -0.96615860, -0.02491133)
(-0.04867629, -0.96919100, -0.03941227)
(-0.04637188, -0.97181840, -0.05347419)
(-0.04398641, -0.97399630, -0.06710152)
(-0.04157382, -0.97567960, -0.08041039)
(-0.03887131, -0.97682360, -0.09359623)
(-0.03553666, -0.97738340, -0.10685450)
(-0.03128790, -0.97731420, -0.12038040)
(-0.02750070, -0.97657110, -0.13427110)
(-0.02393248, -0.97511320, -0.14821780)
(-0.02015834, -0.97339580, -0.16197470)
(-0.01640972, -0.97167810, -0.17531060)
(-0.01290987, -0.96985340, -0.18799390)
(-0.00981911, -0.96781500, -0.19991220)
(-0.00699924, -0.96545610, -0.21208680)
(-0.00439240, -0.96267010, -0.22606090)
(-0.00201276, -0.95935010, -0.24300560)
(0.00009936, -0.95538950, -0.26244540)
(0.00177158, -0.95068140, -0.28374940)
(0.00413185, -0.94511910, -0.30630660)
(0.00700384, -0.93859600, -0.32950620)
(0.00919297, -0.93100520, -0.35273730)
(0.01221160, -0.92199150, -0.37538910)
(0.01654268, -0.90937100, -0.39685060)
(0.02150962, -0.89320470, -0.41651090)
(0.02652887, -0.87417540, -0.43374340)
(0.03138648, -0.85296570, -0.44752400)
(0.03545554, -0.83025860, -0.45712370)
(0.03788252, -0.80673870, -0.46201750)
(0.03833388, -0.78409950, -0.46168050)
(0.03648224, -0.76408380, -0.45573310)
(0.03221744, -0.74769000, -0.44507990)
(0.02620452, -0.73591660, -0.43047420)
(0.01910038, -0.72967120, -0.41252480)
(0.01109776, -0.72799540, -0.39184020)
(0.00351835, -0.73001410, -0.36902910)
(-0.00330646, -0.73529750, -0.34469550)
(-0.00878036, -0.74341540, -0.31885300)
(-0.01316523, -0.75393770, -0.29120750)
(-0.01665626, -0.76643440, -0.26167090)
(-0.01990290, -0.78047540, -0.23015520)
(-0.02322939, -0.79563080, -0.19657240)
(-0.02687421, -0.81147040, -0.16083450)
(-0.03078871, -0.82756420, -0.12285340)
(-0.03502679, -0.84360210, -0.08215134)
(-0.04000525, -0.86042730, -0.03482505)
(-0.04189305, -0.86673750, -0.01689542)
