(-0.05605729, -0.73805520, 0.15845020)
(-0.05720954, -0.73465430, 0.19326710)
(-0.05848571, -0.73034380, 0.22824910)
(-0.06007946, -0.72512910, 0.26327220)
(-0.06183724, -0.71901570, 0.29821220)
(-0.06372508, -0.71200910, 0.33294500)
(-0.06571028, -0.70411460, 0.36734670)
(-0.06784516, -0.69533760, 0.40129310)
(-0.07029636, -0.68568360, 0.43466000)
(-0.07302383, -0.67515800, 0.46732350)
(-0.07597792, -0.66376630, 0.49915960)
(-0.07910895, -0.65151390, 0.53004400)
(-0.08236726, -0.63840620, 0.55985260)
(-0.08573852, -0.62449770, 0.58838060)
(-0.08923641, -0.61024720, 0.61500460)
(-0.09246644, -0.59611680, 0.63948520)
(-0.09498231, -0.58253740, 0.66166260)
(-0.09634074, -0.56993930, 0.68137670)
(-0.09646753, -0.55875350, 0.69846780)
(-0.09596742, -0.54941060, 0.71277580)
(-0.09551600, -0.54234130, 0.72414100)
(-0.09577797, -0.53797940, 0.73240920)
(-0.09677196, -0.53671780, 0.73775520)
(-0.09829150, -0.53834800, 0.74041900)
(-0.10032230, -0.54248770, 0.74052700)
(-0.10285010, -0.54875470, 0.73820580)
(-0.10586050, -0.55676680, 0.73358170)
(-0.10933940, -0.56614190, 0.72678110)
(-0.11327230, -0.57649780, 0.71793060)
(-0.11764500, -0.58745220, 0.70715670)
(-0.12249470, -0.59862290, 0.69458560)
(-0.12764530, -0.60962780, 0.68034400)
(-0.13262790, -0.62008480, 0.66455820)
(-0.13696990, -0.62961140, 0.64735480)
(-0.14032740, -0.63791360, 0.62910490)
(-0.14289810, -0.64514230, 0.61074900)
(-0.14477250, -0.65146280, 0.59251430)
(-0.14601890, -0.65702800, 0.57456730)
(-0.14670550, -0.66199090, 0.55707470)
(-0.14690050, -0.66650470, 0.54020320)
(-0.14667230, -0.67072230, 0.52403270)
(-0.14608910, -0.67479670, 0.50793850)
(-0.14522080, -0.67888100, 0.49177640)
(-0.14420980, -0.68312820, 0.47556320)
(-0.14329750, -0.68769130, 0.45931590)
(-0.14273210, -0.69272340, 0.44305130)
(-0.14275500, -0.69837750, 0.42678630)
(-0.14323030, -0.70480660, 0.41053790)
(-0.14398220, -0.71216340, 0.39432290)
(-0.14497590, -0.72051250, 0.37815830)
(-0.14617670, -0.72974810, 0.36206090)
(-0.14754970, -0.73975270, 0.34590870)
(-0.14906020, -0.75040890, 0.32948670)
(-0.15067350, -0.76159930, 0.31267300)
(-0.15235470, -0.77320640, 0.29534540)
(-0.15406900, -0.78511260, 0.27738180)
(-0.15578180, -0.79720070, 0.25866010)
(-0.15744990, -0.80935310, 0.23905810)
(-0.15896760, -0.82145240, 0.21845380)
(-0.16020040, -0.83338110, 0.19672500)
(-0.16101390, -0.84502170, 0.17374960)
(-0.16127350, -0.85625680, 0.14941760)
(-0.16084470, -0.86696900, 0.12378140)
(-0.15959320, -0.87704070, 0.09701033)
(-0.15738430, -0.88635470, 0.06927583)
(-0.15411240, -0.89471060, 0.04072981)
(-0.14997870, -0.90132550, 0.01142477)
(-0.14515680, -0.90603970, -0.01836512)
(-0.13977870, -0.90886310, -0.04831841)
(-0.13397630, -0.90980550, -0.07817988)
(-0.12788180, -0.90887670, -0.10837950)
(-0.12162720, -0.90608660, -0.13676980)
(-0.11534450, -0.90144490, -0.16267120)
(-0.10916580, -0.89496150, -0.18650350)
(-0.10322310, -0.88664620, -0.20808890)
(-0.09764843, -0.87650870, -0.22724950)
(-0.09242573, -0.86518550, -0.24380760)
(-0.08748204, -0.85342160, -0.25758530)
(-0.08286425, -0.84139010, -0.26840510)
(-0.07861925, -0.82926430, -0.27608880)
(-0.07465432, -0.81721720, -0.28045900)
(-0.07137636, -0.80542200, -0.28133760)
(-0.06964982, -0.79405180, -0.27862970)
(-0.06909175, -0.78327980, -0.27253190)
(-0.06914522, -0.77327910, -0.26321040)
(-0.06926597, -0.76422270, -0.25082580)
(-0.06905672, -0.75628410, -0.23553860)
(-0.06863199, -0.74963600, -0.21750920)
(-0.06760778, -0.74445180, -0.19694250)
(-0.06601927, -0.74090460, -0.17428300)
(-0.06408484, -0.73906300, -0.14978330)
(-0.06200659, -0.73810080, -0.12365400)
(-0.05998658, -0.73769410, -0.09610559)
(-0.05822690, -0.73770660, -0.06734852)
(-0.05692372, -0.73800180, -0.03757891)
(-0.05607978, -0.73844300, -0.00669439)
(-0.05560229, -0.73889400, 0.02520864)
(-0.05542655, -0.73921840, 0.05790235)
(-0.05548787, -0.73927940, 0.09115890)
(-0.05572157, -0.73894080, 0.12475050)
